[2026-01-03 07:30:17] php_system.INFO: E_NOTICE: array (   'type' => 8,   'message' => 'Trying to access array offset on value of type bool',   'file' => '/var/www/html/wp-content/plugins/food-and-drink-menu/includes/class-settings.php',   'line' => 181, ) [] []
[2026-01-03 07:30:18] php_system.INFO: E_NOTICE: array (   'type' => 8,   'message' => 'Trying to access array offset on value of type bool',   'file' => '/var/www/html/wp-content/plugins/food-and-drink-menu/includes/class-settings.php',   'line' => 181, ) [] []
[2026-01-03 07:30:31] php_system.INFO: E_DEPRECATED: array (   'type' => 8192,   'message' => 'Array and string offset access syntax with curly braces is deprecated',   'file' => '/var/www/html/wp-content/plugins/aquila-admin-theme/admin/colour/lessc.inc.php',   'line' => 2478, ) [] []
[2026-01-03 07:30:38] php_system.INFO: E_NOTICE: array (   'type' => 8,   'message' => 'Trying to access array offset on value of type bool',   'file' => '/var/www/html/wp-content/plugins/aquila-admin-theme/admin/colour/colourScheme.php',   'line' => 23, ) [] []
[2026-01-03 07:30:41] php_system.INFO: E_NOTICE: array (   'type' => 8,   'message' => 'Trying to access array offset on value of type bool',   'file' => '/var/www/html/wp-content/plugins/food-and-drink-menu/includes/class-settings.php',   'line' => 181, ) [] []
[2026-01-03 07:30:44] php_system.INFO: E_NOTICE: array (   'type' => 8,   'message' => 'Trying to access array offset on value of type bool',   'file' => '/var/www/html/wp-content/plugins/aquila-admin-theme/admin/colour/colourScheme.php',   'line' => 23, ) [] []
[2026-01-03 07:30:53] php_system.INFO: E_NOTICE: array (   'type' => 8,   'message' => 'Trying to access array offset on value of type bool',   'file' => '/var/www/html/wp-content/plugins/aquila-admin-theme/admin/colour/colourScheme.php',   'line' => 23, ) [] []
[2026-01-03 07:31:53] php_system.INFO: E_NOTICE: array (   'type' => 8,   'message' => 'Trying to access array offset on value of type bool',   'file' => '/var/www/html/wp-content/plugins/food-and-drink-menu/includes/class-settings.php',   'line' => 181, ) [] []
[2026-01-03 07:35:28] php_system.INFO: E_DEPRECATED: array (   'type' => 8192,   'message' => 'Function get_magic_quotes_gpc() is deprecated',   'file' => '/var/www/html/wp-content/plugins/admin-menu-editor/includes/menu-editor-core.php',   'line' => 3407, ) [] []
[2026-01-03 07:37:03] php_system.INFO: E_DEPRECATED: array (   'type' => 8192,   'message' => 'Function get_magic_quotes_gpc() is deprecated',   'file' => '/var/www/html/wp-content/plugins/admin-menu-editor/includes/menu-editor-core.php',   'line' => 3407, ) [] []
[2026-01-03 07:37:10] php_system.INFO: E_DEPRECATED: array (   'type' => 8192,   'message' => 'Function get_magic_quotes_gpc() is deprecated',   'file' => '/var/www/html/wp-content/plugins/admin-menu-editor/includes/menu-editor-core.php',   'line' => 3407, ) [] []
[2026-01-03 07:37:41] php_system.INFO: E_DEPRECATED: array (   'type' => 8192,   'message' => 'Function get_magic_quotes_gpc() is deprecated',   'file' => '/var/www/html/wp-content/plugins/admin-menu-editor/includes/menu-editor-core.php',   'line' => 3407, ) [] []
[2026-01-03 07:37:41] php_system.INFO: E_DEPRECATED: array (   'type' => 8192,   'message' => 'Function get_magic_quotes_gpc() is deprecated',   'file' => '/var/www/html/wp-content/plugins/admin-menu-editor/includes/menu-editor-core.php',   'line' => 3407, ) [] []
[2026-01-03 07:37:41] php_system.INFO: E_DEPRECATED: array (   'type' => 8192,   'message' => 'Function get_magic_quotes_gpc() is deprecated',   'file' => '/var/www/html/wp-content/plugins/admin-menu-editor/includes/menu-editor-core.php',   'line' => 3407, ) [] []
[2026-01-03 07:37:49] php_system.INFO: E_DEPRECATED: array (   'type' => 8192,   'message' => 'Function get_magic_quotes_gpc() is deprecated',   'file' => '/var/www/html/wp-content/plugins/admin-menu-editor/includes/menu-editor-core.php',   'line' => 3407, ) [] []
[2026-01-03 07:38:00] php_system.INFO: E_DEPRECATED: array (   'type' => 8192,   'message' => 'Function get_magic_quotes_gpc() is deprecated',   'file' => '/var/www/html/wp-content/plugins/admin-menu-editor/includes/menu-editor-core.php',   'line' => 3407, ) [] []
[2026-01-03 07:38:00] php_system.INFO: E_DEPRECATED: array (   'type' => 8192,   'message' => 'Function get_magic_quotes_gpc() is deprecated',   'file' => '/var/www/html/wp-content/plugins/admin-menu-editor/includes/menu-editor-core.php',   'line' => 3407, ) [] []
[2026-01-03 07:38:04] php_system.INFO: E_DEPRECATED: array (   'type' => 8192,   'message' => 'Function get_magic_quotes_gpc() is deprecated',   'file' => '/var/www/html/wp-content/plugins/admin-menu-editor/includes/menu-editor-core.php',   'line' => 3407, ) [] []
[2026-01-03 07:38:10] php_system.INFO: E_DEPRECATED: array (   'type' => 8192,   'message' => 'Function get_magic_quotes_gpc() is deprecated',   'file' => '/var/www/html/wp-content/plugins/admin-menu-editor/includes/menu-editor-core.php',   'line' => 3407, ) [] []
